Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
G61 3LY,Yes,55.930306,-4.328089,254650,673253,NS546732,"Bearsden North","",1980-01-01,,67,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008050,"Kilmardinny East - 01"
G61 3LZ,Yes,55.930719,-4.331109,254463,673305,NS544733,"Bearsden North","",1980-01-01,,66,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008050,"Kilmardinny East - 01"
G61 3NA,No,55.932229,-4.334288,254270,673480,NS542734,"Bearsden North","",1987-06-01,1992-07-01,68,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008050,"Kilmardinny East - 01"
G61 3NB,No,55.929895,-4.334148,254270,673220,NS542732,"Bearsden North","",1980-01-01,1995-12-01,70,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008057,"Kilmardinny West - 04"
G61 3ND,Yes,55.923074,-4.325558,254781,672443,NS547724,"Bearsden North","",1989-07-01,,54,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008053,"Kilmardinny East - 04"
G61 3NE,No,55.930188,-4.332885,254350,673250,NS543732,"Bearsden North","",1994-02-01,1995-12-01,68,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008050,"Kilmardinny East - 01"
G61 3NF,Yes,55.928429,-4.321813,255035,673031,NS550730,"Bearsden North","",1980-01-01,,67,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3NG,Yes,55.928268,-4.318922,255215,673007,NS552730,"Bearsden North","",1980-01-01,,65,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3NH,Yes,55.928584,-4.318861,255220,673042,NS552730,"Bearsden North","",1980-01-01,,64,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3NJ,Yes,55.927206,-4.317594,255294,672886,NS552728,"Bearsden North","",1980-01-01,,68,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3NL,Yes,55.927683,-4.315766,255410,672935,NS554729,"Bearsden North","",1980-01-01,,53,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3NN,Yes,55.925812,-4.321945,255017,672740,NS550727,"Bearsden North","",1980-01-01,,77,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3NP,Yes,55.925367,-4.320253,255121,672687,NS551726,"Bearsden North","",1980-01-01,,73,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3NQ,Yes,55.928625,-4.321457,255058,673052,NS550730,"Bearsden North","",1980-01-01,,67,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008051,"Kilmardinny East - 02"
G61 3NR,Yes,55.924918,-4.320226,255121,672637,NS551726,"Bearsden North","",1980-01-01,,71,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3NS,Yes,55.924713,-4.325049,254819,672624,NS548726,"Bearsden North","",1980-01-01,,72,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008055,"Kilmardinny West - 02"
